Anime - Manga
=============
16498 - 23390
21 - 13
20 - 11
1535 - 21
121 - 25
22319 - 33327
14719 - 1517,1630
223 - 42
11757 - 21479
31964 - 75989
32379 - 2
6702 - 598
22199 - 25132
4898 - 3866
37779 - 100128
11061 - 26
1818 - 583
1735 - 11,86129,90531,96200
269 - 12
30276 - 44347
530 - 92
31240 - 74697
120 - 102
22535 - 401
245 - 336
5680 - 13001
24833 - 39883
30 - 698
43 - 1023
1575 - 1528
35062 - 61189
918 - 44
31374 - 36535
21881 - 21479
34566 - 87866,95210,98462
20583 - 35243
28171 - 45757
31580 - 49865
2167 - 2598,6997
15051 - 48251,60703
6045 - 3378
24439 - 12994
9919 - 13492
23755 - 44485
36511 - 81117
25777 - 23390
5114 - 25
2994 - 21
889 - 735
3588 - 908
6 - 703
35790 - 67617
2472 - 96765
36474 - 21479
356 - 715
34561 - 103727
20899 - 872
37999 - 90125
39940 - 45757
39195 - 103701
42938 - 102
35760 - 23390
4437 - 96766
40028 - 23390
33255 - 37755
34599 - 91941
31765 - 103244
34497 - 83019
11887 - 24380
33 - 2
849 - 3083
7791 - 13001
1887 - 587
30654 - 39883
33486 - 75989
2904 - 107645
28977 - 44
31933 - 3006
38524 - 23390
34577 - 44485
38000 - 96792
37991 - 3008
38883 - 35243
28851 - 56805
34944 - 113163
36475 - 82795
31478 - 56529
32526 - 99529,105573
33352 - 98930
39617 - 100128
37520 - 1658
37521 - 642
550 - 54
235 - 1061
39486 - 44
32182 - 60783
23273 - 37707
48661 - 3009
40748 - 113138
49926 - 96792
31043 - 39325
37450 - 70399
38691 - 103897
2251 - 1342
36296 - 36413
28623 - 97916
19815 - 48399
37981 - 5655
16782 - 51747
38826 - 123968
13601 - 44933
35557 - 44489
